lu_assmt,year_lcc,landuse1,landuse2,nyt,rat,nightt,morningt,endt,dayt,dist2s1,dist2s2,dist2s3,dist2s4,dist2s5,dist2s6,dist2rec,dist2tr,dist2ma,dist2res,dist2gov,dist2of,dist2ot,dist2co,num2s1,num2s2,num2s3,num2s4,num2s5,num2s6,num2rec,num2tr,num2ma,num2res,num2gov,num2of,num2ot,num2co,area
gc,13.15152836,Residential real estate,Residences,0,0,7,2,2,9,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,2,0,1,0,6,0,0,0,2,0,0,0,7,8.984181823
gc,6.786662102,Shopping,Furniture_home building,0,0,5,4,5,11,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,2,0,0,1,6,0,0,0,2,0,3,0,4,2.816448489
gc,1.182700276,Other,Other,1,0,4,3,1,10,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,4,0,2,4,40,0,1,3,2,1,4,0,39,8.104416485
gc,6.584203243,Residential real estate,Residences,0,0,34,11,13,45,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,3,0,2,0,2,0,1,0,1,13.60545316
gc,6.947820663,Residential real estate,Residences,1,2,8,8,5,22,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,2,0,2,1,6,0,2,0,2,2,1,0,4,14.33738891
gc,13.09979725,Residential real estate,Residences,0,0,21,5,9,26,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,2,0,0,1,59,0,5,0,2,0,2,0,53,1.791742894
gc,0.999980569,Healthcare,Pharmacy drugstore,0,1,11,14,25,69,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,3,0,5,5,42,1,4,0,2,1,14,0,33,2.522334459
gc,6.614815235,Shopping,Furniture_home building,2,0,1,1,0,3,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,3,0,0,3,2,0,0,0,3,0,3,0,2,2.849874782
gc,9.780684471,Residential real estate,Residences,4,1,40,14,28,43,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,3,0,1,0,22,0,1,1,3,0,0,0,21,14.31302677
gc,1.006289363,Car,Auto Repair,0,0,3,4,6,12,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,3,0,7,7,49,0,1,2,3,2,8,0,50,4.932458251
gc,1,Car,Parking lot,0,0,5,0,2,6,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,3,0,1,1,53,0,2,1,3,0,1,0,51,1.400799325
gc,1,Residential real estate,Residences,4,0,24,16,9,29,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,2,1,10,1,51,0,4,0,3,7,3,0,48,9.689898689
gc,1.002485871,Residential real estate,Residences,0,1,22,26,26,83,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,3,0,10,5,108,0,25,1,3,1,16,0,80,8.592652803
gc,1.501090646,Residential real estate,Residences,0,0,12,14,10,44,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,3,0,1,1,123,0,113,1,3,0,3,0,8,12.44625353
gc,5.1414814,Residential real estate,Residences,0,1,24,14,12,43,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,3,0,44,7,106,1,2,3,3,41,19,0,91,5.884219815
gc,1.126603246,Residential real estate,Residences,0,3,67,89,45,182,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,4,0,6,0,105,0,10,0,4,1,9,0,91,11.03421322
gc,4.247297764,Residential real estate,Residences,2,2,51,40,51,130,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,5,0,8,2,92,1,11,0,5,6,5,0,79,20.94003255
gc,6.609400749,Residential real estate,Residences,3,0,44,17,36,88,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,6,0,1,6,121,0,9,0,6,0,20,0,99,6.246727298
gc,1.000835299,Residential real estate,Residences,4,5,44,66,73,216,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,2,4,32,7,200,0,15,1,6,17,20,0,186,10.05307215
gc,1.061331987,Infrastructure,Road accessories,2,1,22,21,13,43,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,3,3,1,0,39,0,16,0,6,0,0,0,24,5.377967538
gc,1.010408282,Residential real estate,Residences,2,1,43,41,43,101,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,6,0,6,4,118,0,22,0,6,3,21,0,82,11.13785
gc,13.92997932,Residential real estate,Residences,3,4,56,30,35,82,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,7,0,2,1,23,0,9,0,7,0,3,0,14,27.92581186
gc,1.000272036,Infrastructure,Transport facilities,1,1,25,35,41,81,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,7,0,35,5,92,0,10,0,7,12,49,0,61,16.47213854
gc,1.003390431,Residential real estate,Business building,0,1,8,8,6,11,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,10,0,5,2,97,0,17,1,9,0,9,0,78,3.632112997
gc,1.003332496,Education School,University,0,0,15,4,9,28,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,9,0,2,0,154,1,12,0,9,0,10,0,133,4.743986741
gc,10.05424404,Residential real estate,Residences,4,1,124,72,74,175,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,9,0,18,15,429,2,86,2,9,1,32,0,339,33.40776579
gc,9.513295174,Residential real estate,Residences,15,8,119,67,138,284,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,9,0,10,9,416,3,26,0,9,1,23,0,382,14.57511534
gc,1.093472242,Residential real estate,Residences,5,6,119,53,72,148,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,11,0,15,15,253,3,35,1,9,1,33,0,212,20.56481515
gc,3.377753735,Residential real estate,Residences,0,0,2,1,1,8,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,10,0,8,1,106,0,4,1,10,1,4,0,105,5.596833784
gc,1.020650625,Other,Other,4,2,200,113,162,352,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,5,2,23,20,130,0,11,9,10,3,34,0,113,10.74866312
gc,9.893619537,Residential real estate,Residences,0,0,81,51,70,139,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,10,0,0,1,53,0,13,0,10,0,2,0,39,6.379056381
gc,1.00972867,Healthcare,General Hospital,4,3,29,20,34,67,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,16,1,6,7,90,0,12,8,11,0,15,0,74,10.69499143
gc,1.901253223,Residential real estate,Residences,1,12,40,44,48,133,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,12,0,9,4,139,1,17,0,12,2,16,0,116,23.60864886
gc,1.002215147,Residential real estate,Residences,2,4,91,66,116,234,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,9,2,19,1,157,2,17,1,12,9,8,0,139,14.94618205
gc,5.919906139,Residential real estate,Residences,5,10,61,95,98,253,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,12,0,16,37,252,2,22,2,12,4,66,0,209,11.78011809
gc,1.000621676,Residential real estate,Residences,1,2,40,43,48,141,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,8,5,33,47,227,0,32,9,13,10,61,0,195,10.53986579
gc,14.1774931,Residential real estate,Residences,5,8,94,47,53,132,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,13,0,1,3,55,1,24,0,13,0,8,0,26,23.86869426
gc,4.04799509,Residential real estate,Residences,0,0,13,3,5,12,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,14,0,10,4,156,0,24,0,14,2,12,0,132,8.077501708
gc,4.561172009,Residential real estate,Residences,13,7,281,108,182,320,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,15,0,13,3,246,1,34,1,14,7,17,0,203,39.24816484
gc,9.30748558,Residential real estate,Residences,6,2,34,39,24,92,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,16,3,9,7,140,0,28,1,15,7,20,0,104,32.18507548
gc,9.857793808,Residential real estate,Residences,4,4,49,17,37,69,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,15,0,4,5,186,1,40,1,15,2,17,0,134,23.00816408
gc,1.119360685,Residential real estate,Residences,1,0,59,38,40,141,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,18,0,18,18,202,0,30,6,16,4,30,0,170,46.95121238
gc,13.33614731,Residential real estate,Residences,15,1,67,46,91,134,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,16,1,10,5,204,0,23,0,17,6,14,0,176,50.245028
